panel,folder,label,group,n_value_seeds,n_cost_seeds,mean_cost_usd,cost_sem,mean_value,value_sem
winrate,baseline,baseline,baseline,50,50,3.215,0.0,0.1175,0.01579928311471047
winrate,cr1,cr1,depth,50,50,6.8450000000000015,2.5376526277146434e-16,0.22699999999999995,0.02225593248130136
winrate,cr2,cr2,depth,50,50,10.474999999999998,0.0,0.257,0.022016227781213697
winrate,cr4,cr4,depth,50,50,17.735,0.0,0.28850000000000003,0.023268727371074414
winrate,cr8,cr8,depth,50,50,32.255,0.0,0.33399999999999996,0.02794637722496424
winrate,cr11,cr11,depth,50,50,43.145,0.0,0.36972222222222223,0.026826013189124448
winrate,cr22,cr22,depth,50,50,83.075,0.0,0.385,0.02638026473231341
winrate,bo2,bo2,breath,50,50,4.875,0.0,0.124,0.01830802210697233
winrate,bo4,bo4,breath,50,50,8.195,0.0,0.129,0.01627819375227899
winrate,bo8,bo8,breath,50,50,14.835000000000004,5.075305255429287e-16,0.1225,0.01760174504335944
winrate,bo16,bo16,breath,50,50,28.115000000000006,5.075305255429287e-16,0.1545,0.022414121824038905
winrate,cr2bo2,cr2bo2,mix,50,50,19.394999999999996,5.075305255429287e-16,0.2835,0.027734252748365225
winrate,cr2bo4,cr2bo4,mix,50,50,37.235,0.0,0.2915,0.025270071836309548
winrate,cr2bo8,cr2bo8,mix,50,50,72.91499999999998,2.0301221021717147e-15,0.32,0.0275532878885513
s_seed_adherence,baseline,baseline,baseline,48,50,3.215,0.0,0.8541666666666666,0.015919779771389104
s_seed_adherence,cr1,cr1,depth,48,50,6.8450000000000015,2.5376526277146434e-16,0.8217592592592592,0.01977778644749428
s_seed_adherence,cr2,cr2,depth,48,50,10.474999999999998,0.0,0.8078703703703702,0.018342221301558347
s_seed_adherence,cr4,cr4,depth,48,50,17.735,0.0,0.8055555555555557,0.019431775677037348
s_seed_adherence,cr8,cr8,depth,48,50,32.255,0.0,0.8240740740740741,0.01745362140014415
s_seed_adherence,cr11,cr11,depth,48,50,43.145,0.0,0.8078703703703703,0.018342221301558347
s_seed_adherence,cr22,cr22,depth,48,50,83.075,0.0,0.8009259259259259,0.017492769759010533
s_seed_adherence,bo2,bo2,breath,48,50,4.875,0.0,0.8101851851851851,0.019278628043161442
s_seed_adherence,bo4,bo4,breath,48,50,8.195,0.0,0.8263888888888887,0.01233695433111172
s_seed_adherence,bo8,bo8,breath,48,50,14.835000000000004,5.075305255429287e-16,0.8217592592592592,0.020052570599804857
s_seed_adherence,bo16,bo16,breath,48,50,28.115000000000006,5.075305255429287e-16,0.8333333333333334,0.016869010739643538
s_seed_adherence,cr2bo2,cr2bo2,mix,48,50,19.394999999999996,5.075305255429287e-16,0.8240740740740741,0.014733325924577016
s_seed_adherence,cr2bo4,cr2bo4,mix,48,50,37.235,0.0,0.7870370370370369,0.02061604132348728
s_seed_adherence,cr2bo8,cr2bo8,mix,48,50,72.91499999999998,2.0301221021717147e-15,0.7800925925925926,0.027178239048130905
