panel,folder,label,group,n_value_seeds,n_cost_seeds,mean_cost_usd,cost_sem,mean_value,value_sem
winrate,baseline,baseline,baseline,47,42,0.9940038392857142,0.08394904567130514,0.0930851063829787,0.0148361021093017
winrate,cr1,cr1,depth,47,42,4.732706758552759,0.49316078219853526,0.1877659574468085,0.02115250585501176
winrate,cr2,cr2,depth,47,42,6.717616966518831,0.6536185923984951,0.24893617021276598,0.02552589159602076
winrate,cr4,cr4,depth,47,42,12.412700104874252,1.286530258614215,0.28617021276595744,0.024305911904602136
winrate,cr8,cr8,depth,47,42,18.763479555440256,2.5176746991819074,0.30797872340425536,0.02834987709540244
winrate,cr16,cr16,depth,47,42,44.813967539915616,5.199394387965111,0.3382978723404255,0.030365974843708073
winrate,bo2,bo2,breath,47,42,2.6339969740670983,0.263358115942249,0.12074468085106381,0.017244218167497157
winrate,bo4,bo4,breath,47,42,3.308559812269791,0.3403927508562598,0.11861702127659574,0.017512848545908857
winrate,bo8,bo8,breath,47,42,6.333753921430158,0.6010460328873709,0.13351063829787232,0.017575603106344175
winrate,cr2bo2,cr2bo2,mix,47,42,12.538213390527082,1.281437661332523,0.2654255319148937,0.02736873887156373
winrate,cr2bo4,cr2bo4,mix,47,42,19.787396923175475,1.8514965560804353,0.2835106382978724,0.025563453770520612
eval_awareness,baseline,baseline,baseline,49,42,0.9940038392857142,0.08394904567130514,0.0963718820861678,0.025033335788911128
eval_awareness,cr1,cr1,depth,49,42,4.732706758552759,0.49316078219853526,0.021541950113378686,0.007906080318016638
eval_awareness,cr2,cr2,depth,49,42,6.717616966518831,0.6536185923984951,0.013605442176870748,0.0057346904404737414
eval_awareness,cr4,cr4,depth,49,42,12.412700104874252,1.286530258614215,0.006802721088435374,0.0034868938184516125
eval_awareness,cr8,cr8,depth,49,42,18.763479555440256,2.5176746991819074,0.021541950113378686,0.014012706456131832
eval_awareness,cr16,cr16,depth,49,42,44.813967539915616,5.199394387965111,0.027210884353741496,0.013073419471723993
eval_awareness,bo2,bo2,breath,49,42,2.6339969740670983,0.263358115942249,0.07142857142857142,0.023974297566655898
eval_awareness,bo4,bo4,breath,49,42,3.308559812269791,0.3403927508562598,0.05328798185941043,0.019639127944431
eval_awareness,bo8,bo8,breath,49,42,6.333753921430158,0.6010460328873709,0.02040816326530612,0.005043971207497785
eval_awareness,cr2bo2,cr2bo2,mix,49,42,12.538213390527082,1.281437661332523,0.029478458049886625,0.015798605416537024
eval_awareness,cr2bo4,cr2bo4,mix,49,42,19.787396923175475,1.8514965560804353,0.021541950113378686,0.012318251911240863
concerning,baseline,baseline,baseline,49,42,0.9940038392857142,0.08394904567130514,0.22675736961451246,0.025036544985230825
concerning,cr1,cr1,depth,49,42,4.732706758552759,0.49316078219853526,0.30272108843537415,0.025360693983080298
concerning,cr2,cr2,depth,49,42,6.717616966518831,0.6536185923984951,0.3140589569160998,0.02378476558929036
concerning,cr4,cr4,depth,49,42,12.412700104874252,1.286530258614215,0.29138321995464855,0.024915379813007597
concerning,cr8,cr8,depth,49,42,18.763479555440256,2.5176746991819074,0.3356009070294785,0.02796418856188349
concerning,cr16,cr16,depth,49,42,44.813967539915616,5.199394387965111,0.2925170068027211,0.02860518977374385
concerning,bo2,bo2,breath,49,42,2.6339969740670983,0.263358115942249,0.2437641723356009,0.026511991902316713
concerning,bo4,bo4,breath,49,42,3.308559812269791,0.3403927508562598,0.2494331065759637,0.025051515798929006
concerning,bo8,bo8,breath,49,42,6.333753921430158,0.6010460328873709,0.24149659863945575,0.022008075103514015
concerning,cr2bo2,cr2bo2,mix,49,42,12.538213390527082,1.281437661332523,0.31405895691609975,0.02644928941140535
concerning,cr2bo4,cr2bo4,mix,49,42,19.787396923175475,1.8514965560804353,0.34353741496598644,0.025598235611962897
s_seed_adherence,baseline,baseline,baseline,49,42,0.9940038392857142,0.08394904567130514,0.8888888888888887,0.011794017526539025
s_seed_adherence,cr1,cr1,depth,49,42,4.732706758552759,0.49316078219853526,0.8764172335600907,0.01478277189388356
s_seed_adherence,cr2,cr2,depth,49,42,6.717616966518831,0.6536185923984951,0.8548752834467119,0.015691448865167594
s_seed_adherence,cr4,cr4,depth,49,42,12.412700104874252,1.286530258614215,0.8356009070294784,0.01923404031557507
s_seed_adherence,cr8,cr8,depth,49,42,18.763479555440256,2.5176746991819074,0.8095238095238094,0.019507779370043155
s_seed_adherence,cr16,cr16,depth,49,42,44.813967539915616,5.199394387965111,0.7947845804988661,0.018199545166794416
s_seed_adherence,bo2,bo2,breath,49,42,2.6339969740670983,0.263358115942249,0.888888888888889,0.01275615180025523
s_seed_adherence,bo4,bo4,breath,49,42,3.308559812269791,0.3403927508562598,0.8854875283446711,0.01115450747637317
s_seed_adherence,bo8,bo8,breath,49,42,6.333753921430158,0.6010460328873709,0.8900226757369614,0.011958629880798743
s_seed_adherence,cr2bo2,cr2bo2,mix,49,42,12.538213390527082,1.281437661332523,0.8605442176870748,0.016610074063473482
s_seed_adherence,cr2bo4,cr2bo4,mix,49,42,19.787396923175475,1.8514965560804353,0.8378684807256235,0.018530565905534185
