panel,folder,label,group,n_value_seeds,n_cost_seeds,mean_cost_usd,cost_sem,mean_value,value_sem
winrate,baseline,baseline,baseline,47,42,0.9940038392857142,0.08394904567130514,0.0930851063829787,0.0148361021093017
winrate,cr1,cr1,depth,47,42,4.732706758552759,0.49316078219853526,0.1877659574468085,0.02115250585501176
winrate,cr2,cr2,depth,47,42,6.717616966518831,0.6536185923984951,0.24893617021276598,0.02552589159602076
winrate,cr4,cr4,depth,47,42,12.412700104874252,1.286530258614215,0.28617021276595744,0.024305911904602136
winrate,cr8,cr8,depth,47,42,18.763479555440256,2.5176746991819074,0.30797872340425536,0.02834987709540244
winrate,cr16,cr16,depth,47,42,44.813967539915616,5.199394387965111,0.3382978723404255,0.030365974843708073
winrate,bo2,bo2,breath,47,42,2.6339969740670983,0.263358115942249,0.12074468085106381,0.017244218167497157
winrate,bo4,bo4,breath,47,42,3.308559812269791,0.3403927508562598,0.11861702127659574,0.017512848545908857
winrate,bo8,bo8,breath,47,42,6.333753921430158,0.6010460328873709,0.13351063829787232,0.017575603106344175
winrate,cr2bo2,cr2bo2,mix,47,42,12.538213390527082,1.281437661332523,0.2654255319148937,0.02736873887156373
winrate,cr2bo4,cr2bo4,mix,47,42,19.787396923175475,1.8514965560804353,0.2835106382978724,0.025563453770520612
s_seed_adherence,baseline,baseline,baseline,48,42,0.9940038392857142,0.08394904567130514,0.9259259259259259,0.01598053569004984
s_seed_adherence,cr1,cr1,depth,48,42,4.732706758552759,0.49316078219853526,0.9050925925925926,0.018117078106092012
s_seed_adherence,cr2,cr2,depth,48,42,6.717616966518831,0.6536185923984951,0.8726851851851851,0.020920708116049378
s_seed_adherence,cr4,cr4,depth,48,42,12.412700104874252,1.286530258614215,0.8657407407407408,0.02361622883704241
s_seed_adherence,cr8,cr8,depth,48,42,18.763479555440256,2.5176746991819074,0.8356481481481483,0.022435341171057593
s_seed_adherence,cr16,cr16,depth,48,42,44.813967539915616,5.199394387965111,0.8194444444444445,0.023069211351701167
s_seed_adherence,bo2,bo2,breath,48,42,2.6339969740670983,0.263358115942249,0.9212962962962962,0.016527635679350654
s_seed_adherence,bo4,bo4,breath,48,42,3.308559812269791,0.3403927508562598,0.9212962962962963,0.015502531678952833
s_seed_adherence,bo8,bo8,breath,48,42,6.333753921430158,0.6010460328873709,0.9398148148148149,0.013215898874920261
s_seed_adherence,cr2bo2,cr2bo2,mix,48,42,12.538213390527082,1.281437661332523,0.8912037037037037,0.021564737543513218
s_seed_adherence,cr2bo4,cr2bo4,mix,48,42,19.787396923175475,1.8514965560804353,0.8703703703703702,0.021269297992538655
